X,Y,Height_Ft,Name,Trail,Poplarity,Pitches,Comments,File_path,Difficulty,Anchors,ClimbClass,Descent,Fixed_Gear,Type,ID
-108.7088222,39.10132536,70,Route 2,Monument Canyon Trail,1,1,2 old bolts for anchors at 2 drilled angle for anchors,P:\Photos\Climbing Survey 2014\MCBS19.JPG,5.10,2,1,Rappel/Lower,Yes,mixed,MCBS19
-108.7060171,39.1042949,90,Unknown,Monument Canyon Trail,1,1,8 bolts  and anchors,P:\Photos\Climbing Survey 2014\MCBW51.JPG,5.10,2,1,Rappel/Lower,Yes,sport,MCBE51
-108.7333638,39.11642673,50,Unknown,Hike From Road,2,1,"Bolted anchor with webbing visible, offwidth toprope to right of ballarina",P:\Photos\Climbing Survey 2014\FCBN04.JPG,5.10,0,1,Rappel/Lower,Yes,toprope,FCBN04
-108.7318556,39.10236971,30,Saddle Horn 4,Road,1,1,Rope wear marks,P:\Photos\Climbing Survey 2014\MCBS60.JPG,5.10,0,1,Walk off,No,toprope,MCBS60
-108.7325635,39.10291245,20,Saddle Horn 7,Road,1,1,Roof crack,P:\Photos\Climbing Survey 2014\MCBN63.JPG,5.10,0,1,Walk off,No,toprope,MCBN63
-108.6643359,39.01373933,175,Law Of One,No Thoroughfare Trail,1,2,Two; two bolt anchor and chains,P:\Photos\Climbing Survey 2014\NTBE25.JPG,5.10,4,2,Rappel/Lower,Yes,trad,NTBE25
-108.6447463,39.02858318,70,Unknown,N/A,1,1,Slings and old bolts at the top.,P:\Photos\Climbing Survey 2014\NTBN8.JPG,5.10,2,1,Drop down,Yes,trad,NTBN8
-108.6442904,39.02842001,100,Unknown3,N/A,1,1,No anchor visible.,P:\Photos\Climbing Survey 2014\NTBN10.JPG,5.10,0,1,Walk off,No,trad,NTBN10
-108.6553049,39.01878885,95,Unknown6,N/A,2,1,Same anchor as pirahana,P:\Photos\Climbing Survey 2014\NTBE13.JPG,5.10,0,1,Rappel/Lower,Yes,trad,NTBE13
-108.6570484,39.01767192,65,Sandman,N/A,1,1,Anchor visible,P:\Photos\Climbing Survey 2014\NTBS14.JPG,5.10,2,1,Rappel/Lower,Yes,trad,NTBS14
-108.6591422,39.01719989,85,Primal Instinct,N/A,1,1,Anchor visible with chain   shares anchors with desert fox,P:\Photos\Climbing Survey 2014\NTBS17.JPG,5.10,0,1,Rappel/Lower,Yes,trad,NTBS17
-108.6671335,39.05563161,70,Jfa,Liberty Cap,2,1,Rap from tree,P:\Photos\Climbing Survey 2014\LCBS14.JPG,5.10,0,1,Rappel/Lower,No,trad,LCBS14
-108.6846046,39.07612639,70,Singles,Liberty Cap To Monument Bench,4,1,Two bolt anchor with webbing  70ft,P:\Photos\Climbing Survey 2014\MBBE06.JPG,5.10,2,1,Rappel/Lower,Yes,trad,MBBE06
-108.6850434,39.07582347,200,Unknown 3,Liberty Cap To Monument Bench,1,1,3 old bolts spotted no anchor visible could go to top 200ft,P:\Photos\Climbing Survey 2014\MBBE07.JPG,5.10,0,1,Rappel/Lower,Yes,trad,MBBE07
-108.6847112,39.07686559,80,Large Surprises,Liberty Cap To Monument Bench,3,1,Two bolts and webbing  80ft,P:\Photos\Climbing Survey 2014\MBBE14.JPG,5.10,2,1,Rappel/Lower,Yes,trad,MBBE14
-108.663412,39.01366166,75,Red Warrior,No Thoroughfare Trail,1,1,One protection bolt visible. tree with webbing anchor,P:\Photos\Climbing Survey 2014\NTBE4.JPG,5.10,0,1,Rappel/Lower,Yes,trad,NTBE4
-108.6649301,39.01383319,60,Chocolate Corner,No Thoroughfare Trail,1,1,Two bolt anchor and chains,P:\Photos\Climbing Survey 2014\NTBE27.JPG,5.10,2,1,Rappel/Lower,Yes,trad,NTBE27
-108.6686246,39.01027107,143,Over The Edge Spire: One Toke Over The Line,No Thoroughfare Trail,1,1,3 drilled angle ontop. empty protection holes,P:\Photos\Climbing Survey 2014\NTTE02.JPG,5.10,3,1,Rappel/Lower,Yes,trad,NTTE02
-108.6548735,39.04265959,100,Super Crack Of The Monument,Red Canyon Access Trail,4,1,Two bolts w\chain for anchor,P:\Photos\Climbing Survey 2014\RCBE01.JPG,5.10,2,1,Rappel/Lower,Yes,trad,RCBE01
-108.6607257,39.0465775,85,Baby Gypsy North Face,Monument Bench,1,1,Bolted rap anchor visible.,P:\Photos\Climbing Survey 2014\MBTE12.JPG,5.10,2,1,Rappel/Lower,Yes,trad,MBTE12
-108.679859,39.05613661,80,Unknown,Upper Ute,1,1,Bolts and webbing visible,P:\Photos\Climbing Survey 2014\UTBS15.JPG,5.10,2,1,Rappel/Lower,Yes,trad,UTBS15
-108.7129058,39.08521884,300,Egypt Rock - The Revolution Will Not Be Televised,Monument Canyon Trail,1,4,"5 hangers, 3 anchor sets",P:\Photos\Climbing Survey 2014\MCTE07.JPG,5.10,6,3,Rappel/Lower,Yes,trad,MCTE07
